File,Field Type,Level,Field,Format,Length,Short,Descriptor,Comments,Values
COMMITMENT-PRGM,GR,1,FCP-CONSTANT-GRP,,0.0,AG,,Constant portion of commitment program record.,
COMMITMENT-PRGM,,2,FCP-YR,N,4.0,AR,,The calander year in which the promotion is originally planned to run at the retails.,
COMMITMENT-PRGM,,2,FCP-STAT-DATE,N,8.0,AD,,This field reflects the date on which the status of the record became effective.,
COMMITMENT-PRGM,,2,FCP-PROM-DESC,A,35.0,AF,,A 35 character name that is being applied to the program  such as 'Summer Savings'.,
COMMITMENT-PRGM,GR,1,FCP-ORDR-CD-GRP,,0.0,BA,,order group info,
COMMITMENT-PRGM,,2,FCP-TYP-CD,A,1.0,BV,,A code indicating the type of promotion. blank - regular promotion A - Arctic promotion,
COMMITMENT-PRGM,GR,1,FCP-ORDR-INFO-GRP,,0.0,DA,,order information group,
COMMITMENT-PRGM,,2,FCP-ORDR-INFO,A,35.0,DB,,Contains any special messages to be printed on the shipping order and invoices.,
COMMITMENT-PRGM,,2,FCP-PRGM-STP-DATE,N,8.0,DE,,The date on which the commit- ment orders file is to be condensed for the specified promotion.,
COMMITMENT-PRGM,,2,FCP-GUAR-RLSE-DATE,N,8.0,DG,,Contains the date on which ex cess stock from the promotion reserve field is returned to the quantity on hand field of the IMF.,
COMMITMENT-PRGM,,2,FCP-FIX-BUY-STR-DATE,N,8.0,DH,,The fixed str date on which the nothern co-ops may start ordering on promotions 101 thru 103.  The promotion expiry date will be used for the stop date.,
COMMITMENT-PRGM,GR,1,FCP-DISC-GRP,,0.0,FA,,discount group,
COMMITMENT-PRGM,,2,FCP-DISC-AMT,P,4.02,FD,,Contains the percent or dollar value of the order discount.,
COMMITMENT-PRGM,PE,1,FCP-RGN-TBL,,0.0,GA,,This group contains region information.,
COMMITMENT-PRGM,,2,FCP-RGN-SHP-DATE,N,8.0,GD,,The date that the region is to start shipping merchandise.,
COMMITMENT-PRGM,,2,FCP-GUAR-STR-DATE,N,8.0,GE,,The date on which reserve stock will start to be shipped to the retail.,
COMMITMENT-PRGM,,2,FCP-GUAR-STP-DATE,N,8.0,GF,,The last date that the retail can purchase stock at the promotion price.,
COMMITMENT-PRGM,,2,FCP-BUY-YR,N,4.0,AK,,The year in which the promotion is to be bought. A fixed buy year and week forces all vendors to buy a promotion on the fixed date regardless of the vendor promotion leadtime. (ie. this is used on Easter bookings and to also force early buying at Christmas.),
COMMITMENT-PRGM,,2,FCP-BUY-WK,N,2.0,AL,,The week the promotion is to be bought in. A fixed buy year and week forces all vendors to buy a promotion on the fixed date regardless of the vendor promotion leadtime. (ie. tis is used on Easter bookings and also to force early buying at Christmas.),
COMMITMENT-PRGM,,2,FCP-ARRV-YR,N,4.0,AM,,The field is used with Base Buy Week to set the year/week that the promotion runs at the Retail.  For General Merchan- dise the week is equal to the week the stock should arrive at the warehouse  generally 2 weeks prior to the queue date. Fof Food the week is equal to the week the ad runs at the retail.  Inforem subtracts the FVM-LT-PROM-BUY-WKS from the base buy week to calculate the order week for buying the promotion.,
COMMITMENT-PRGM,,2,FCP-ARRV-WK,N,2.0,AN,,This field is used with Base Buy Year to set the year/week that the promotion will run at the retail. For General Merch- andise the week is equal to the week the stock should arrive at the warehouse  generally 2 weeks prior to the queue date.  For Food the week is equal to the week the ad runs at the retail.  Inforem subtracts the FVM-LT-PROM-BUY- WKS from the base buy week to calculate the order week for buying the promotion.,
COMMITMENT-PRGM,,2,FCP-RTL-YR,N,4.0,AO,,The actual year in which the promotion runs at the retails.,
COMMITMENT-PRGM,,2,FCP-RTL-WK,N,2.0,AP,,The week the promotion is to run at the retails.,
COMMITMENT-PRGM,,2,FCP-AUTO-RSRV-DATE,N,8.0,AQ,,The date the promotion is to start automatically reserving stock for the items. The items will be checked each night up to the auto reserve stop date.,
COMMITMENT-PRGM,,2,FCP-AUTO-RSRV-STP-DATE,N,8.0,BG,,The date the promotion is to stop automatically reserving stock for the items.  The items will be checked each night up to this date.,
COMMITMENT-PRGM,,2,FCP-EXP-ARRV-DATE,N,8.0,AT,,Used by the INFOREM system to indicate that the promotion is to be bought on a separate purchase order  and to indicate when the stock is expected to arrive at the warehouse. * If non zero  the promotion's pricing will not be used for investment buying. Also  only the quantity required for the promotion will be ordered at the promotion price. Any additional stock required will be ordered on a separate PO.,
COMMITMENT-PRGM,,2,FCP-FLYER-QTY,PS,13.0,AU,,Total number of flyers distributed for the promotion.,
COMMITMENT-PRGM,,2,FCP-PG-QTY,NS,2.0,AV,,The number of pages in the flyer advertising the promotion.,
COMMITMENT-PRGM,,2,FCP-PAY-WK-CD,A,1.0,AW,,A code indicating that the promotion ran at the retails during a pay week. * Valid values:   'N' - The promotion did not         run during a pay week.   'Y' - The promotion ran         during a pay week.,
COMMITMENT-PRGM,,2,FCP-WHSE-RECV-DATE,N,8.0,AX,,The last possible date the bkd-qty excluding the bkup-bkd can be received in the warehouse.,
COMMITMENT-PRGM,,2,FCP-REG-STK-CD,A,1.0,BW,,Indicates if its okay for this region to steal stock from the regular price bucket. Values: 'y' or blank,
COMMITMENT-PRGM,,2,FCP-BKUP-WHSE-RECV-DATE,N,8.0,AY,,The last possible date the bkup-bkd-qty can be received in the warehouse.,
COMMITMENT-PRGM,GR,1,FCP-RTL-DATE-GRP,,0.0,HA,,retail date group,
COMMITMENT-PRGM,,2,FIM-RTL-STR-DATE,N,8.0,HB,,The date the retail price is in effect.,
COMMITMENT-PRGM,,2,FIM-RTL-STP-DATE,N,8.0,HC,,The last date that the retail price is in effect.,
COMMITMENT-PRGM,,2,FCP-RTL-STR-DATE,N,8.0,HD,,The start date of the promotion at the retail.,
COMMITMENT-PRGM,,2,FCP-RTL-STP-DATE,N,8.0,HE,,After this date  INFOREM will not use the booked quantities.,
COMMITMENT-PRGM,GR,1,FCP-MISC-GRP,,0.0,AH,,A GROUP CONTAINING MISCELLANEOUS FIELDS.,
COMMITMENT-PRGM,,2,FCP-EST-FRCST-UPDT-DATE,N,8.0,HG,,The date the promotion forecasting estimate screens are to be prepared.,
COMMITMENT-PRGM,,2,FCP-LOAD-EST-DATE,N,8.0,HH,,The date the promotion forecasting estimates  are to be transfered to the IMF-PRICE file.,
COMMITMENT-PRGM,,2,FCP-FLYER-WRAP-PROM-CD,A,1.0,CB,,Indicates if the promotion is a flyer wrap promotion (food promotions > 100 only) Values: Y - flyer wrap promotion N - not a flyer wrap promotion,
COMMITMENT-PRGM,,1,FCP-UPLD-FORCED-CD,A,1.0,BY,,This code will force a promo to go to the point of sale system via the upload system. Values: 'Y' - force promo to upload ' ' - must order an item to       get poromo on upload.,
COMMITMENT-PRGM,,1,FCP-HDWE-FOOD-CD,A,1.0,CA,,Field to determine if Hardware promos are accepted for food stores as well valid values Y     = Yes it is blank = No it is not,
COMMITMENT-PRGM,MU,1,FEI-PROM-NO,N,4.0,AZ,,This field indicates the Teambook promotion number.,
COMMITMENT-PRGM,PE,1,FIM-UPLD-TBL,,0.0,TA,,Promotion Upload by department and by different sections within the department. ex: food  meat and produce are the same department but each has their own occurrence.,
COMMITMENT-PRGM,,2,FCP-UPLD-TYP-ID,A,1.0,BH,,This field is used to identify who the occurrence belongs to. Valid Values are:    G - Grocery occurrence 1    M - Meat occurrence 2    P - Produce occurrence 3    H - Gen Merch occurrence 4    F - Feed occurrence 4    C - Crop Supp occurrence 4    S - Stationery occurrence 4    T - Tires occurrence 4,
COMMITMENT-PRGM,,2,FCP-UPLD-SENT-CD,A,1.0,BI,,Whether this promotion has been sent to the retail yet. Valid Values are: Y or N or S Y - Yes it has been sent. N - No it hasn't been sent. S - It has been selected and     will be uploaded later     tonight. T - The initial load has been     sent to TCI only. P - Items prices will be     checked 18 days before prm R - The pack change items have     been generated M - Mix and Match number     report has been generated,
COMMITMENT-PRGM,,2,FCP-UPLD-DATE,N,8.0,BJ,,The date the upload file will be sent to the retail.,
COMMITMENT-PRGM,,2,FCP-UPLD-STR-DATE,N,8.0,BK,,The retail start date in the promotion upload file we send to the retail.,
COMMITMENT-PRGM,,2,FCP-UPLD-STP-DATE,N,8.0,BL,,The retail stop date in the promotion upload file we send to the retail.,
COMMITMENT-PRGM,,2,FCP-UPLD-CTR,N,3.0,BZ,,This field will determine if the promo is going to the POS system or the scales system. Values 0 - did not go to either yet 1 - The promo went to the POS     UPLD system and did not     go to the scales yet. 2 - The promo did not go to     the POS UPLD system  but     it did go to the Scales.     This should happen 2 days     before the promo start     date.,
COMMITMENT-PRGM,,1,FCP-RBT-STR-DATE,N,8.0,BN,,This field will contain the date that retails can start keying in rebate requests for selected promotion items (if they exist on the promotion).,
COMMITMENT-PRGM,,1,FCP-RBT-STP-DATE,N,8.0,BO,,This field will contain the last date that retails have to key in rebate requests for selected promotion items (if they exist on the promotion).,
COMMITMENT-PRGM,PE,1,FCP-RBT-ITEM-TBL,,0.0,TB,,This table will list all items on the promotion rebate system and the rates that are applied to each promotion. Note:  some rates may be zero  this just means that the item is not a part of this promotion.,
COMMITMENT-PRGM,,2,FDST-RBT-ITEM-INFO,A,25.0,BP,,This is the item description and size  as keyed by the food department  for any items that are a part of the promotion rebate program.,
